Filtering the log data using "subsystem == "com.spatial.app.driver.speaker""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:11.930 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6830f] [com.spatial.app.driver.speaker:AudioServerPlugIn] RemoveDeviceClient clientID=318 pid=94158
2026-05-09 22:13:12.026 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18880 clientID=413 bundleID=com.spatial.app clientReadCount=925 inputOnly=true stream=input frames=512 peak=0.164871 sample0=0.070907 sample1=0.023988 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.164871 writeMixSeq=15241
2026-05-09 22:13:12.197 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18896 clientID=413 bundleID=com.spatial.app clientReadCount=941 inputOnly=true stream=input frames=512 peak=0.215305 sample0=-0.104720 sample1=-0.183327 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.215305 writeMixSeq=15257
2026-05-09 22:13:12.367 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18912 clientID=413 bundleID=com.spatial.app clientReadCount=957 inputOnly=true stream=input frames=512 peak=0.200074 sample0=-0.003454 sample1=-0.040602 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.200074 writeMixSeq=15273
2026-05-09 22:13:12.538 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18928 clientID=413 bundleID=com.spatial.app clientReadCount=973 inputOnly=true stream=input frames=512 peak=0.169155 sample0=-0.157878 sample1=0.000043 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.169155 writeMixSeq=15289
2026-05-09 22:13:12.709 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18944 clientID=413 bundleID=com.spatial.app clientReadCount=989 inputOnly=true stream=input frames=512 peak=0.302972 sample0=0.246768 sample1=0.140380 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.302972 writeMixSeq=15305
2026-05-09 22:13:12.803 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=15360 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.161616
2026-05-09 22:13:12.879 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18960 clientID=413 bundleID=com.spatial.app clientReadCount=1005 inputOnly=true stream=input frames=512 peak=0.351812 sample0=0.121291 sample1=0.020972 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.351812 writeMixSeq=15321
2026-05-09 22:13:13.050 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18976 clientID=413 bundleID=com.spatial.app clientReadCount=1021 inputOnly=true stream=input frames=512 peak=0.299221 sample0=-0.148809 sample1=0.146917 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.299221 writeMixSeq=15337
2026-05-09 22:13:13.221 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18992 clientID=413 bundleID=com.spatial.app clientReadCount=1037 inputOnly=true stream=input frames=512 peak=0.296032 sample0=0.238375 sample1=0.282051 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.296032 writeMixSeq=15353
