Filtering the log data using "process == "coreaudiod" OR subsystem == "com.apple.audio.AUHAL" OR subsystem == "com.apple.coreaudio" OR subsystem BEGINSWITH "com.apple.audio""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:04.552 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.563 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.573 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]        AudioQueueObject.h:1269  AQFetch: Input ring buffer returning 0x400 frames, t: 0x80a980 - 0x80ad80
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7354  EncoderInputProc: ->1024 fr, 4096 bytes @ t=8432000 fr
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1006]
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12346.169279, 8432944 st, 1.000000 rs
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1007 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.584 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1007]
